Date,SPY,QQQ,TLT,GLD,HYG,UUP
2008-01-02,104.37350463867188,43.51777267456055,56.2546501159668,84.86000061035156,33.745697021484375,20.158246994018555
2008-01-03,104.32308197021484,43.69904708862305,56.17716979980469,85.56999969482422,33.68124771118164,20.201156616210938
2008-01-04,101.76652526855469,41.78257751464844,56.1890983581543,85.12999725341797,33.64393615722656,19.98661994934082
2008-01-07,101.6800765991211,41.58402633666992,56.43339538574219,84.7699966430664,33.44384002685547,20.183996200561523
2008-01-08,100.0381088256836,40.50494384765625,56.367889404296875,86.77999877929688,33.25051498413086,20.158246994018555
2008-01-09,101.08953857421875,41.368202209472656,56.47517776489258,86.55000305175781,32.887638092041016,20.31271743774414
2008-01-10,101.75205993652344,41.428627014160156,55.71223449707031,88.25,33.131813049316406,20.115339279174805
2008-01-11,100.93108367919922,40.617156982421875,56.14736557006836,88.58000183105469,33.20304870605469,20.209739685058594
2008-01-14,101.74486541748047,41.32505798339844,56.355953216552734,89.54000091552734,33.087745666503906,20.10675811767578
2008-01-15,99.50518035888672,40.18551254272461,56.987770080566406,87.98999786376953,33.1724967956543,20.089595794677734
2008-01-16,98.64820098876953,39.75389099121094,56.576473236083984,86.69999694824219,33.135189056396484,20.33846664428711
2008-01-17,96.09159851074219,39.201393127441406,57.30964660644531,86.5,32.90119171142578,20.304136276245117
2008-01-18,95.10494232177734,39.14958190917969,56.91625213623047,87.41999816894531,33.15895080566406,20.364208221435547
2008-01-22,94.13995361328125,38.13955307006836,57.52421569824219,88.16999816894531,32.9283332824707,20.398534774780273
2008-01-23,96.40128326416016,37.99279022216797,57.393104553222656,87.88999938964844,32.992767333984375,20.33846664428711
2008-01-24,97.21504974365234,38.76974868774414,56.24269485473633,90.08000183105469,33.406517028808594,20.166828155517578
2008-01-25,95.81071472167969,37.975521087646484,57.19041442871094,90.30000305175781,33.45738983154297,20.218318939208984
2008-01-28,97.39511108398438,38.269039154052734,56.975833892822266,91.75,33.304786682128906,20.089595794677734
2008-01-29,97.87759399414062,38.33810043334961,56.58842849731445,91.1500015258789,33.33870315551758,20.081012725830078
2008-01-30,97.1574478149414,38.30356979370117,56.218849182128906,92.05999755859375,33.467586517333984,19.96087074279785
2008-01-31,98.9290771484375,38.959678649902344,56.61825180053711,91.4000015258789,33.53539276123047,20.115339279174805
2008-02-01,100.52061462402344,39.35676956176758,56.95857620239258,89.3499984741211,33.55381774902344,20.192575454711914
